,year,CG_max,CG_min,CG_mean,CG_median,CG_var,IP_outs_max,IP_outs_min,IP_outs_mean,IP_outs_median,IP_outs_var,batters_faced_max,batters_faced_min,batters_faced_mean,batters_faced_median,Opp_BA_max,Opp_BA_min,Opp_BA_mean,Opp_BA_median,BB_max,BB_min,BB_mean,BB_median,BB_var,SO_max,SO_min,SO_mean,SO_median,SO_var,ERA_max,ERA_min,ERA_mean,ERA_median
39,1910,38,0,7.350710900473934,4.0,70.9621304445949,1110,1,318.1090047393365,205.0,90312.0118709095,1367.0,2.0,425.7867298578199,299.0,,,,,133,0.0,35.48341232227488,27.0,1046.7842473482283,313,0,45.96208530805687,27.0,2629.06522229745,63.0,0.0,3.916208530805687,3.07
40,1911,36,0,6.3392070484581495,3.0,63.1808896339324,1106,2,291.3303964757709,155.0,86557.6912401076,1480.0,6.0,404.58590308370043,222.0,0.66,0.0,0.28259911894273126,0.26,181,0.0,34.87665198237885,21.0,1223.7015321040114,255,0,43.54625550660793,23.0,2669.0631164477018,54.0,0.0,4.856651982378855,3.74
41,1912,35,0,5.678571428571429,1.0,69.00782583949915,1179,0,260.4761904761905,108.5,91494.18668184405,1564.0,1.0,364.50396825396825,155.0,1.0,0.0,0.30607142857142855,0.28,159,0.0,30.404761904761905,15.0,1115.397268070575,303,0,38.82936507936508,13.0,2667.1938752924807,36.0,0.0,,3.775
42,1913,29,0,5.518828451882845,2.0,54.233887697338346,1038,0,276.9916317991632,153.0,87789.97471959495,1324.0,1.0,384.07112970711296,208.0,1.0,0.0,0.2757740585774059,0.26,136,0.0,30.635983263598327,18.0,983.1736577476179,243,0,39.57740585774059,17.0,2189.1441932421503,54.0,0.0,,3.38
43,1914,34,0,7.303886925795053,4.0,70.68746710773625,1132,1,355.2190812720848,276.0,101058.49793248628,1502.0,0.0,474.51943462897526,384.0,9.99,0.0,3.2536395759717314,0.27,140,0.0,39.381625441696116,33.0,1133.4992356464427,236,0,52.83745583038869,35.0,2820.732350951056,22.5,0.0,3.7098939929328623,3.1
44,1915,36,0,6.656957928802589,3.0,62.75856344302946,1178,0,323.5275080906149,200.0,92148.34745513386,1527.0,0.0,418.24271844660194,243.0,9.99,0.0,2.968381877022654,0.27,165,0.0,35.993527508090615,23.0,1100.0583995292734,241,0,45.679611650485434,26.0,2274.1600050435004,40.5,0.0,,4.5
45,1916,38,0,6.636363636363637,4.0,59.63359483156437,1167,1,341.0808080808081,277.5,92429.05942675486,1500.0,4.0,460.07575757575756,374.5,0.66,0.0,0.25722222222222224,0.25,168,0.0,35.7979797979798,32.0,1018.862533969133,228,0,48.10606060606061,30.0,2328.0851407475775,40.5,0.0,3.840050505050505,2.92
46,1917,35,0,7.720670391061453,5.0,75.84288494130939,1164,3,377.1564245810056,340.0,98335.45853995354,1529.0,3.0,512.072625698324,490.0,0.62,0.0,0.25731843575418994,0.25,123,0.0,38.4804469273743,35.0,1000.2285481137405,200,0,48.273743016759774,37.0,2063.525767371791,38.57,0.0,3.5070391061452515,2.82
47,1918,30,0,6.037735849056604,3.0,54.77582044174193,997,0,260.2830188679245,150.0,70351.84369131718,1342.0,2.0,356.77358490566036,212.0,1.0,0.0,0.2661792452830189,0.26,117,0.0,27.0188679245283,16.0,766.084950371099,162,0,27.712264150943398,16.0,1054.5566261289457,108.0,0.0,,2.84
48,1919,30,0,5.786666666666667,2.0,55.44535714285714,920,0,268.1644444444444,154.0,70826.28087301587,1229.0,1.0,368.29777777777775,215.0,1.0,0.0,0.29164444444444443,0.27,107,0.0,26.58222222222222,19.0,596.7086111111112,147,0,30.537777777777777,14.0,1175.347896825397,31.5,0.0,,18.0
49,1920,33,0,6.518691588785047,1.0,73.03955508753455,1090,2,312.0981308411215,143.0,103230.55840024572,1447.0,4.0,438.77570093457945,207.5,0.83,0.0,,,149,0.0,31.88785046728972,20.0,1026.2314948883331,173,0,33.967289719626166,14.0,1487.1961081128516,54.0,0.0,4.902523364485981,3.84
50,1921,32,0,6.033175355450237,2.0,61.20365605958023,1010,2,312.8341232227488,210.0,89713.17711577522,1401.0,3.0,453.13744075829385,308.0,0.63,0.0,0.2995260663507109,0.29,123,0.0,32.345971563981045,25.0,862.4464003610923,143,0,32.99526066350711,19.0,1226.6809298126834,36.0,0.0,5.173601895734597,4.29
51,1922,31,0,5.849056603773585,2.0,56.83018867924528,1056,0,312.6981132075472,233.0,86084.59089689708,1464.0,1.0,,,1.0,0.0,0.3032547169811321,0.29,103,0.0,34.04716981132076,29.5,872.3958687293213,149,0,32.7122641509434,21.0,1154.585062147903,40.5,0.0,,4.43
52,1923,33,0,5.719626168224299,1.0,59.53604493001623,1073,0,309.64953271028037,214.5,89096.49161949892,1548.0,2.0,449.803738317757,332.5,1.0,0.0,0.31098130841121496,0.28,120,0.0,35.49065420560748,26.5,1047.7440437014611,197,0,32.742990654205606,18.0,1309.468847352025,36.0,0.0,,0.0
53,1924,30,0,5.254385964912281,2.0,47.635443233634746,945,0,288.6842105263158,224.5,72652.49895664271,1377.0,2.0,,,1.0,0.0,0.303640350877193,0.29,109,0.0,32.24561403508772,25.0,764.564958652137,262,0,29.05263157894737,18.0,1062.613957801994,27.0,0.0,,4.445
54,1925,27,0,5.571428571428571,2.0,47.801587301587304,903,0,301.84331797235023,216.0,73265.49385560676,1239.0,3.0,443.55299539170505,327.0,1.0,0.0,0.3127188940092166,0.29,131,0.0,35.79723502304147,25.0,959.0698071343232,221,0,30.81566820276498,19.0,1063.873271889401,81.0,0.0,,3.31
55,1926,32,0,5.552884615384615,3.0,43.021344295800816,955,1,316.0576923076923,290.0,68635.78409513192,1367.0,1.0,457.1105769230769,433.0,0.6,0.0,0.28927884615384614,0.28,118,0.0,36.90384615384615,35.0,867.7588257153475,194,0,32.76442307692308,26.5,1100.8282933853586,27.0,0.0,4.914182692307692,4.075
56,1927,30,0,5.3244444444444445,2.0,46.28265873015873,927,0,293.48,221.0,75181.12571428572,1316.0,3.0,425.2266666666667,318.0,1.0,0.0,0.3016,0.29,117,0.0,33.07111111111111,26.0,848.4502777777777,184,0,30.644444444444446,17.0,1163.248015873016,81.0,0.0,,3.8
57,1928,28,0,5.351598173515982,2.0,48.73360981944619,992,0,301.48858447488584,226.0,73688.48954798709,1377.0,1.0,440.9634703196347,344.0,1.0,0.0,0.29484018264840184,0.28,114,0.0,34.986301369863014,31.0,916.0686188261908,200,0,32.39269406392694,19.0,1301.7441665619372,27.0,0.0,,4.41
58,1929,28,0,5.462616822429907,2.0,45.742727392391735,915,1,306.3551401869159,254.0,72516.48361195209,1310.0,1.0,450.3644859813084,386.0,1.0,0.0,0.3088785046728972,0.29,125,0.0,37.429906542056074,31.0,1003.2697117283138,170,0,32.88785046728972,22.5,1231.705673292089,36.0,0.0,5.942102803738318,4.795
59,1930,29,0,5.11214953271028,2.0,43.48971085077443,893,0,306.4766355140187,253.5,68174.62621210127,1299.0,2.0,454.3130841121495,380.0,1.0,0.0,0.3147196261682243,0.3,139,0.0,35.72429906542056,30.0,855.7217542012198,209,0,37.05607476635514,26.5,1529.72454038875,81.0,0.0,,4.625
60,1931,27,0,6.123711340206185,3.0,48.015704289300785,873,3,340.0618556701031,289.5,72105.45729394797,1248.0,5.0,495.8556701030928,431.5,0.6,0.14,0.290979381443299,0.28,130,0.0,39.53092783505155,35.0,879.8254633833662,175,0,40.76288659793814,30.5,1531.1041076865552,27.0,0.0,5.150051546391753,4.395
61,1932,28,0,5.331753554502369,2.0,44.81322500564207,981,2,314.5924170616114,238.0,73155.18546603476,1356.0,3.0,457.82464454976304,356.0,0.66,0.0,0.2865876777251185,0.28,163,0.0,35.7345971563981,29.0,928.6435116226586,191,0,37.241706161137444,27.0,1564.2412999322953,27.0,0.0,5.169526066350711,4.43
62,1933,26,0,5.649746192893401,3.0,44.922614731171656,950,1,333.507614213198,271.0,70805.09815601367,1365.0,4.0,480.65989847715736,416.0,0.85,0.16,0.2830964467005076,0.27,141,0.0,37.30456852791878,31.0,880.9883973894126,199,0,37.78172588832487,26.0,1440.7633378224386,135.0,0.0,5.536903553299492,4.02
63,1934,25,0,4.86697247706422,2.0,41.848581575275865,946,1,298.77522935779814,216.5,72903.63127298863,1329.0,2.0,438.14220183486236,328.0,0.66,0.0,0.29256880733944957,0.28,149,0.0,36.00917431192661,30.5,1033.290238024775,195,0,38.6651376146789,27.0,1654.3988711791317,36.0,0.0,5.389908256880734,4.51
64,1935,31,0,5.060185185185185,2.0,44.20566322136089,976,0,303.8888888888889,227.5,68440.05271317829,1391.0,1.0,445.30555555555554,354.5,0.75,0.0,0.29328703703703707,0.28,113,0.0,36.25,29.5,890.0581395348837,190,0,37.111111111111114,24.0,1420.55503875969,54.0,0.0,,4.525
65,1936,28,0,4.756637168141593,2.0,42.371622418879056,945,0,292.61504424778764,218.0,69434.33559488693,1341.0,3.0,433.0,333.0,1.0,0.0,,0.16,147,0.0,37.23451327433628,29.0,1069.869203539823,238,0,36.42920353982301,21.5,1609.3571878072762,54.0,0.0,,0.0
66,1937,25,0,4.995515695067264,2.0,38.59006989051832,877,0,294.7174887892377,231.0,63879.78018826001,1276.0,3.0,431.0224215246637,352.0,1.0,0.0,0.29233183856502243,0.28,124,0.0,37.856502242152466,31.0,1032.6730093322021,194,0,40.38565022421525,29.0,1666.3731264897185,36.0,0.0,,3.97
67,1938,31,0,4.780701754385965,2.0,37.475925496560784,989,1,284.9780701754386,250.5,62295.290265862895,1475.0,4.0,418.140350877193,358.0,1.0,0.0,0.2866666666666667,0.28,208,0.0,37.84649122807018,31.5,1168.870604374372,240,0,36.58771929824562,25.5,1568.1112141587448,81.0,0.0,5.6970175438596495,4.58
68,1939,31,0,4.108,1.0,31.759373493975904,957,0,261.912,167.0,57795.3094939759,1283.0,3.0,383.7,260.0,1.0,0.0,0.28344,0.28,142,0.0,33.912,24.5,950.7151164658635,246,0,34.072,21.0,1313.842184738956,33.75,0.0,,4.56
69,1940,31,0,4.719827586206897,1.0,43.085665771010596,961,0,285.1508620689655,215.5,62573.02043215405,1304.0,3.0,413.41379310344826,310.0,1.0,0.14,0.28133620689655175,0.27,143,0.0,35.625,28.5,915.5600649350649,261,0,39.03448275862069,26.0,1487.4879832810868,27.0,0.0,,4.4350000000000005
70,1941,30,0,4.4105691056910565,1.0,36.98584702173552,1029,3,270.7235772357724,210.0,58531.98042143687,1466.0,4.0,392.2113821138211,308.5,0.57,0.0,0.2680894308943089,0.26,194,0.0,36.142276422764226,29.0,1043.379674796748,260,0,35.91869918699187,22.0,1472.1321387091423,36.0,0.0,4.7039837398373985,4.13
71,1942,28,0,4.925764192139738,2.0,40.147973645905154,863,3,287.5807860262009,241.0,58802.86734850226,1224.0,4.0,410.1703056768559,344.0,0.56,0.0,0.25742358078602623,0.25,140,0.0,36.61572052401747,32.0,926.0709798513751,186,0,36.39301310043668,28.0,1120.3536351796522,31.5,0.0,4.289213973799127,3.7
72,1943,25,0,4.581589958158996,2.0,36.53848317569706,909,1,281.2050209205021,216.0,61072.91157132309,1286.0,4.0,397.8744769874477,319.0,0.77,0.0,0.2669456066945607,0.26,162,0.0,34.94142259414226,29.0,851.0217643542773,174,0,35.82426778242678,25.0,1267.0026018775711,27.0,0.0,4.384728033472803,3.6
73,1944,33,0,4.799145299145299,2.0,44.14403360111515,1057,1,286.2264957264957,223.0,70345.34332929827,1421.0,2.0,408.6709401709402,322.0,0.55,0.0,0.274017094017094,0.26,137,0.0,33.85897435897436,32.0,879.0486959392539,187,0,34.88461538461539,21.5,1366.6346979201057,108.0,0.0,5.502863247863248,3.91
74,1945,29,0,4.56,2.0,36.17510040160643,940,1,263.856,218.0,53286.92697188755,1261.0,5.0,378.98,321.0,0.83,0.0,0.26876,0.26,130,0.0,33.188,27.5,769.1653172690764,212,0,32.204,24.0,1097.416048192771,189.0,0.0,5.47932,3.7350000000000003
