yearID,count,mean,std,min,25%,50%,75%,max
1942,229.0,4.925764192139738,6.336242865129552,0.0,0.0,2.0,8.0,28.0
1943,239.0,4.581589958158996,6.044707038037249,0.0,0.0,2.0,8.0,25.0
1944,234.0,4.799145299145299,6.644097651383154,0.0,0.0,2.0,8.0,33.0
1945,250.0,4.56,6.014574000010843,0.0,0.0,2.0,7.0,29.0
1946,293.0,3.590443686006826,5.797039053583297,0.0,0.0,1.0,5.0,36.0
1947,250.0,3.844,5.617998900550475,0.0,0.0,1.0,6.0,24.0
1948,250.0,3.588,5.299300552467422,0.0,0.0,1.0,6.0,28.0
1949,226.0,4.331858407079646,6.108686208804649,0.0,0.0,1.0,7.75,27.0
1950,249.0,4.008032128514056,5.999994602061743,0.0,0.0,1.0,6.0,27.0
1951,247.0,3.7975708502024292,5.591761703908096,0.0,0.0,1.0,5.5,26.0
1952,260.0,3.65,5.677684421143921,0.0,0.0,1.0,5.25,30.0
1953,241.0,3.5850622406639006,5.31370328493007,0.0,0.0,1.0,6.0,33.0
1954,241.0,3.4854771784232366,5.325332215820155,0.0,0.0,1.0,5.0,29.0
1955,280.0,2.6714285714285713,4.466430513967312,0.0,0.0,0.0,4.0,26.0
1956,270.0,2.8074074074074074,5.053610430532616,0.0,0.0,0.0,3.0,22.0
1957,268.0,2.6492537313432836,4.255434881743294,0.0,0.0,0.0,4.0,18.0
1958,281.0,2.6441281138790034,4.549887287217713,0.0,0.0,0.0,4.0,23.0
1959,267.0,2.7790262172284645,4.700808819709694,0.0,0.0,0.0,4.0,21.0
1960,257.0,2.5914396887159534,4.320238151401483,0.0,0.0,0.0,4.0,18.0
1961,281.0,2.6512455516014235,4.256013419712723,0.0,0.0,0.0,4.0,22.0
1962,331.0,2.5498489425981874,4.392116730125909,0.0,0.0,0.0,4.0,22.0
1963,319.0,2.7115987460815045,4.50697121960392,0.0,0.0,0.0,4.0,22.0
1964,337.0,2.364985163204748,4.216643195254815,0.0,0.0,0.0,3.0,22.0
1965,320.0,2.309375,4.308761895862327,0.0,0.0,0.0,3.0,27.0
1966,345.0,2.1333333333333333,4.114589282205492,0.0,0.0,0.0,2.0,27.0
1967,343.0,2.2798833819241984,4.126342133362809,0.0,0.0,0.0,3.0,20.0
1968,306.0,2.9313725490196076,5.16150912724062,0.0,0.0,0.0,4.0,30.0
1969,404.0,2.4306930693069306,4.851916151101705,0.0,0.0,0.0,2.0,28.0
1970,403.0,2.1141439205955335,4.157576964776636,0.0,0.0,0.0,2.0,24.0
1971,361.0,2.9972299168975067,5.489636000358843,0.0,0.0,0.0,3.0,30.0
1972,367.0,2.749318801089918,5.088543150315589,0.0,0.0,0.0,3.0,30.0
1973,362.0,2.930939226519337,5.239228094554318,0.0,0.0,0.0,3.0,29.0
1974,365.0,2.9835616438356163,5.428329577790774,0.0,0.0,0.0,4.0,29.0
1975,368.0,2.858695652173913,4.984076052575412,0.0,0.0,0.0,4.0,30.0
1976,349.0,2.977077363896848,5.058796997887612,0.0,0.0,0.0,4.0,25.0
1977,415.0,2.185542168674699,4.23942653269473,0.0,0.0,0.0,2.0,22.0
1978,391.0,2.6445012787723785,4.544251278982801,0.0,0.0,0.0,3.0,23.0
1979,418.0,2.1842105263157894,3.9556339899599937,0.0,0.0,0.0,3.0,23.0
1980,392.0,2.183673469387755,3.921471978905416,0.0,0.0,0.0,3.0,28.0
1981,374.0,1.3636363636363635,2.770267964771027,0.0,0.0,0.0,1.0,18.0
1982,402.0,1.8258706467661692,3.45899057871296,0.0,0.0,0.0,2.0,19.0
1983,415.0,1.7951807228915662,3.262875040522128,0.0,0.0,0.0,2.0,21.0
1984,415.0,1.5228915662650602,3.0398053785434116,0.0,0.0,0.0,1.0,17.0
1985,438.0,1.4315068493150684,2.9455179485243064,0.0,0.0,0.0,1.0,16.0
1986,453.0,1.2781456953642385,2.849061964238586,0.0,0.0,0.0,1.0,20.0
1987,469.0,1.1961620469083156,2.735471760311641,0.0,0.0,0.0,1.0,18.0
1988,461.0,1.349240780911063,2.7970373434393347,0.0,0.0,0.0,1.0,15.0
1989,489.0,0.9877300613496932,2.1135425841114865,0.0,0.0,0.0,1.0,12.0
1990,520.0,0.825,1.8368288624010454,0.0,0.0,0.0,1.0,12.0
1991,499.0,0.7334669338677354,1.8582017812520282,0.0,0.0,0.0,0.0,15.0
1992,474.0,0.8839662447257384,2.117389065693358,0.0,0.0,0.0,0.0,13.0
1993,555.0,0.6684684684684684,1.6721320607286387,0.0,0.0,0.0,0.0,13.0
1994,492.0,0.5182926829268293,1.3117325539076075,0.0,0.0,0.0,0.0,10.0
1995,619.0,0.44426494345718903,1.1692023811165166,0.0,0.0,0.0,0.0,10.0
1996,592.0,0.48986486486486486,1.2824067825727044,0.0,0.0,0.0,0.0,10.0
1997,594.0,0.4478114478114478,1.3197693567228372,0.0,0.0,0.0,0.0,13.0
1998,624.0,0.483974358974359,1.4175237512000571,0.0,0.0,0.0,0.0,15.0
1999,641.0,0.36973478939157567,1.1161967056945796,0.0,0.0,0.0,0.0,12.0
2000,677.0,0.345642540620384,1.0314002413382446,0.0,0.0,0.0,0.0,9.0
2001,652.0,0.3052147239263804,0.9076076061415733,0.0,0.0,0.0,0.0,8.0
2002,659.0,0.32473444613050073,0.9553137492285747,0.0,0.0,0.0,0.0,8.0
2003,676.0,0.3091715976331361,0.9846098201409715,0.0,0.0,0.0,0.0,9.0
2004,680.0,0.22058823529411764,0.7489922190458889,0.0,0.0,0.0,0.0,9.0
2005,654.0,0.2889908256880734,0.8267917421624663,0.0,0.0,0.0,0.0,7.0
2006,700.0,0.2057142857142857,0.695763948403933,0.0,0.0,0.0,0.0,6.0
2007,718.0,0.15598885793871867,0.5670266080292871,0.0,0.0,0.0,0.0,7.0
2008,700.0,0.19428571428571428,0.6949409901329855,0.0,0.0,0.0,0.0,9.0
2009,729.0,0.2085048010973937,0.7189614669644439,0.0,0.0,0.0,0.0,9.0
2010,684.0,0.2412280701754386,0.8288337591602127,0.0,0.0,0.0,0.0,9.0
2011,707.0,0.2446958981612447,0.8927371488981576,0.0,0.0,0.0,0.0,11.0
2012,722.0,0.1772853185595568,0.6268467630839869,0.0,0.0,0.0,0.0,6.0
2013,726.0,0.17079889807162535,0.5834746534566606,0.0,0.0,0.0,0.0,5.0
2014,746.0,0.1581769436997319,0.5945333973757995,0.0,0.0,0.0,0.0,6.0
2015,809.0,0.12855377008652658,0.5081396957381922,0.0,0.0,0.0,0.0,4.0
2016,824.0,0.10072815533980582,0.47875847324817256,0.0,0.0,0.0,0.0,6.0
2017,839.0,0.07032181168057211,0.35708146906544425,0.0,0.0,0.0,0.0,5.0
2018,893.0,0.04703247480403135,0.25061501941754755,0.0,0.0,0.0,0.0,2.0
2019,930.0,0.04838709677419355,0.2721808836377511,0.0,0.0,0.0,0.0,3.0
2020,770.0,0.03766233766233766,0.21608826463175493,0.0,0.0,0.0,0.0,2.0
2021,1031.0,0.04849660523763336,0.2708762654830737,0.0,0.0,0.0,0.0,3.0
